geoName,Moving to
Oklahoma,100
Washington,93
Texas,93
South Carolina,92
Utah,91
Alaska,91
Oregon,90
Arkansas,89
Idaho,88
North Carolina,87
Georgia,87
Nevada,86
Colorado,85
South Dakota,85
Mississippi,84
Florida,83
Tennessee,83
Alabama,83
New Mexico,82
Arizona,82
Rhode Island,81
Kansas,81
Indiana,81
North Dakota,81
Montana,81
Missouri,80
Delaware,80
Hawaii,78
Iowa,78
Wyoming,77
Ohio,77
Nebraska,77
West Virginia,76
California,76
District of Columbia,76
Kentucky,75
Virginia,75
Minnesota,75
Michigan,75
Pennsylvania,75
Vermont,74
New Jersey,74
Louisiana,73
Maine,73
Massachusetts,73
New Hampshire,72
Illinois,70
Maryland,69
Connecticut,69
New York,67
Wisconsin,63
